# a2mega 1_0a3 master pin map - signal / ESP32-S3 / BTB position / FPGA ball
# Ball names are identical on Tang Mega 60K (GW5AT-60) and 138K (GW5AST-138): same PG484 package,
#  same SOM PCB. Bank NUMBERING and IO names below are 138K conventions (the a2-mega schematics use
#  Tang Mega 138K pin names); the SERDES Q0 lanes 1 and 3 swap between the dies - see lane columns.
# NOTE: pins move again on board rev 1.0a4 (HyperRAM added, GS nets relocated) - re-extract with
#  boards/a2mega/tools/btb_pinmap.py before targeting 1.0a4.
# Sources: a2-mega repo (kicad_pcb pad nets + fpga_som_btb*.kicad_sch pin-name texts);
#  validated against the working 1.0a2 a2mega.cst via the 1.0a2a netlist.
signal,esp32_s3,btb,ball,io_name_138k,lane_60k,lane_138k,notes
FPGA_GS_D0,,J3.20,N15,BANK4_IOB146A,,,
FPGA_GS_A6,,J3.21,W19,BANK4_IOB122A,,,
FPGA_GS_NMI,,J3.22,N13,BANK4_IOB142A,,,
FPGA_GS_A5,,J3.23,AB18,BANK4_IOB108B,,,
FPGA_GS_BE,,J3.24,N14,BANK4_IOB142B,,,
FPGA_GS_A4,,J3.25,AA18,BANK4_IOB108A,,,
FPGA_GS_IRQ,,J3.26,Y17,BANK5_,,,
FPGA_GS_A3,,J3.27,Y19,BANK4_IOB116B,,,
FPGA_GS_PH2,,J3.28,AB17,BANK5_,,,
FPGA_GS_A2,,J3.29,Y18,BANK4_IOB116A,,,
FPGA_GS_ABORT,,J3.30,AA16,BANK5_,,,
FPGA_GS_A1,,J3.31,W17,BANK4_IOB106B,,,
FPGA_GS_A0,,J3.33,V17,BANK4_IOB106A,,,
FPGA_GS_RW,,J3.35,U18,BANK4_IOB112B,,,
FPGA_GS_RDY,,J3.36,AB16,BANK5_,,,
FPGA_GS_RESET,,J3.38,AA15,BANK5_,,,
FPGA_GS_DATA_~{OE},,J3.40,AB15,BANK5_,,,
FPGA_GS_ADDR_~{OE},,J3.42,Y16,BANK5_,,,
FPGA_GS_~{OE},,J3.44,W15,BANK5_,,,
FPGA_GS_RDY_OUT,,J3.46,V15,BANK5_,,,
FPGA_GS_VP,,J3.48,W14,BANK5_,,,
LED D3 (R25),,J3.55,R14,BANK4_IOB133B,,,
LED D4 (R26),,J3.57,P14,BANK4_IOB133A,,,
DP_REFCLK_P,,J2.73,F10,Q0_REFCLK1,Q0_REFCLK1,Q0_REFCLK1,"DSC1103 135 MHz LVDS XO, AC-coupled"
DP_REFCLK_N,,J2.71,E10,Q0_REFCLK1,Q0_REFCLK1,Q0_REFCLK1,
DP0_P,,J2.77,D7,Q0 SERDES,Q0 lane 3 (TXN - P/N swapped),Q0 lane 1,tx_pol_invert required
DP0_N,,J2.79,C7,Q0 SERDES,Q0 lane 3 (TXP),Q0 lane 1,
DP1_P,,J2.83,B6,Q0 SERDES,Q0 lane 2 (TXN - P/N swapped),Q0 lane 2,bonding master (2-lane IP)
DP1_N,,J2.85,A6,Q0 SERDES,Q0 lane 2 (TXP),Q0 lane 2,
DP2_P,,J2.89,D5,Q0 SERDES,Q0 lane 1 (TXN - P/N swapped),Q0 lane 3,future 4-lane
DP2_N,,J2.91,C5,Q0 SERDES,Q0 lane 1 (TXP),Q0 lane 3,
DP3_P,,J2.95,B4,Q0 SERDES,Q0 lane 0 (TXP - NOT swapped*),Q0 lane 0,*Sipeed sheet disagrees; verify on hw before 4-lane
DP3_N,,J2.97,A4,Q0 SERDES,Q0 lane 0 (TXN),Q0 lane 0,
clk (50 MHz osc),,SOM,V22,,,,SOM oscillator
button,,SOM,AB13,,,,LVCMOS15; bank differs 60K vs 138K (Bank 5 on 138K)
